[2025-07-04 12:25:44] local.INFO: Query: select * from `packages` | Time: 33.72ms  
[2025-07-04 12:36:29] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:29' group by `month` order by `month` asc | Time: 29.97ms  
[2025-07-04 12:36:29] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:29', '2025-07-04 12:36:29') | Time: 33.94ms  
[2025-07-04 12:36:30] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 29.11ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 31.71ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 31.97ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 29.89ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 29.52ms  
[2025-07-04 12:36:30] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 28.74ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 29.77ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 29.53ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 28.6ms  
[2025-07-04 12:36:30] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 28.64ms  
[2025-07-04 12:36:31] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 28.98ms  
[2025-07-04 12:36:31] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 30.53ms  
[2025-07-04 12:36:31] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 32.01ms  
[2025-07-04 12:36:31] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 31.16ms  
[2025-07-04 12:36:31] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:31' group by `month` order by `month` asc | Time: 31.26ms  
[2025-07-04 12:36:31] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 31.65ms  
[2025-07-04 12:36:31] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 29.97ms  
[2025-07-04 12:36:31] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 30.14ms  
[2025-07-04 12:36:32] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 28.51ms  
[2025-07-04 12:36:32] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 30.03ms  
[2025-07-04 12:36:32] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 29.2ms  
[2025-07-04 12:36:32] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 28.03ms  
[2025-07-04 12:36:32] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 28.2ms  
[2025-07-04 12:36:33] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 29.24ms  
[2025-07-04 12:36:33] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 29.91ms  
[2025-07-04 12:36:33] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:33' group by `month` order by `month` asc | Time: 28.79ms  
[2025-07-04 12:36:33] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:33', '2025-07-04 12:36:33') | Time: 33.91ms  
[2025-07-04 12:36:34] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 33.11ms  
[2025-07-04 12:36:34] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 33.4ms  
[2025-07-04 12:36:34] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 33.94ms  
[2025-07-04 12:36:34] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 33.62ms  
[2025-07-04 12:36:34] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:33' group by `month` order by `month` asc | Time: 33.53ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 34.79ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 34.07ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 33.42ms  
[2025-07-04 12:36:34] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 33.22ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 35.06ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 33.93ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 33.49ms  
[2025-07-04 12:36:34] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 33.29ms  
[2025-07-04 12:36:35] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 31.08ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 32.4ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 32ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 31.22ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 31.26ms  
[2025-07-04 12:36:35] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 29.26ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 29.93ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 29.99ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 28.21ms  
[2025-07-04 12:36:35] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 30.07ms  
[2025-07-04 12:36:36] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 33.51ms  
[2025-07-04 12:36:36] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 35.03ms  
[2025-07-04 12:36:36] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:35' group by `month` order by `month` asc | Time: 33.64ms  
[2025-07-04 12:36:36] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:36', '2025-07-04 12:36:36') | Time: 41.17ms  
[2025-07-04 12:36:36] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 34.69ms  
[2025-07-04 12:36:36] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 33.94ms  
[2025-07-04 12:36:36] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:36' group by `month` order by `month` asc | Time: 34.15ms  
[2025-07-04 12:36:36] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:36', '2025-07-04 12:36:36') | Time: 56.19ms  
[2025-07-04 12:36:37] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 28.35ms  
[2025-07-04 12:36:37] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 28.7ms  
[2025-07-04 12:36:37] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 28.71ms  
[2025-07-04 12:36:37] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 28.9ms  
[2025-07-04 12:36:37] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:37' group by `month` order by `month` asc | Time: 29.14ms  
[2025-07-04 12:36:37] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 30.33ms  
[2025-07-04 12:36:37] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 28.93ms  
[2025-07-04 12:36:37] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 29.31ms  
[2025-07-04 12:36:38] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 30.6ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 31.4ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 33.39ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 30.44ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 30.92ms  
[2025-07-04 12:36:38] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 30.31ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 32.23ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 31.59ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 30.22ms  
[2025-07-04 12:36:38] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 31.42ms  
[2025-07-04 12:36:39] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 30.13ms  
[2025-07-04 12:36:39] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 28.87ms  
[2025-07-04 12:36:39] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 29.15ms  
[2025-07-04 12:36:39] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 28.84ms  
[2025-07-04 12:36:39] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:38' group by `month` order by `month` asc | Time: 30.01ms  
[2025-07-04 12:36:39] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 30.76ms  
[2025-07-04 12:36:39] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 31.03ms  
[2025-07-04 12:36:39] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 29.26ms  
[2025-07-04 12:36:39] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 31.3ms  
[2025-07-04 12:36:39] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 32.18ms  
[2025-07-04 12:36:39] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:39' group by `month` order by `month` asc | Time: 31.76ms  
[2025-07-04 12:36:39] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:39', '2025-07-04 12:36:39') | Time: 35.87ms  
[2025-07-04 12:36:40] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 63.75ms  
[2025-07-04 12:36:40] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 34.84ms  
[2025-07-04 12:36:40] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 35.86ms  
[2025-07-04 12:36:40] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 34.03ms  
[2025-07-04 12:36:40] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 33.86ms  
[2025-07-04 12:36:40] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 33.73ms  
[2025-07-04 12:36:40] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 35.43ms  
[2025-07-04 12:36:40] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:40' group by `month` order by `month` asc | Time: 34.54ms  
[2025-07-04 12:36:40] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:40', '2025-07-04 12:36:40') | Time: 49.74ms  
[2025-07-04 12:36:41] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 33.95ms  
[2025-07-04 12:36:41] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 34.56ms  
[2025-07-04 12:36:41] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 34.33ms  
[2025-07-04 12:36:41] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 35.44ms  
[2025-07-04 12:36:41] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:41' group by `month` order by `month` asc | Time: 36.16ms  
[2025-07-04 12:36:41] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 36.03ms  
[2025-07-04 12:36:41] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 35ms  
[2025-07-04 12:36:41] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 34.18ms  
[2025-07-04 12:36:42] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 33.3ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 35.13ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 35.17ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 33.12ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 34.43ms  
[2025-07-04 12:36:42] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 28.82ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 29.56ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 30.47ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 28.65ms  
[2025-07-04 12:36:42] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 28.93ms  
[2025-07-04 12:36:43] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 33.58ms  
[2025-07-04 12:36:43] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 33.74ms  
[2025-07-04 12:36:43] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 33.9ms  
[2025-07-04 12:36:43] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 34.48ms  
[2025-07-04 12:36:43] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:43' group by `month` order by `month` asc | Time: 33.81ms  
[2025-07-04 12:36:43] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 34.8ms  
[2025-07-04 12:36:43] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 33.42ms  
[2025-07-04 12:36:43] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 33.13ms  
[2025-07-04 12:36:44] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 32.1ms  
[2025-07-04 12:36:44] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 32.69ms  
[2025-07-04 12:36:44] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:43' group by `month` order by `month` asc | Time: 31.45ms  
[2025-07-04 12:36:44] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:43', '2025-07-04 12:36:43') | Time: 53.35ms  
[2025-07-04 12:36:44] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 33.55ms  
[2025-07-04 12:36:44] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 33.61ms  
[2025-07-04 12:36:44] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 33.57ms  
[2025-07-04 12:36:44] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 33.52ms  
[2025-07-04 12:36:44] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:36:44' group by `month` order by `month` asc | Time: 34.51ms  
[2025-07-04 12:36:44] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 36.23ms  
[2025-07-04 12:36:44] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 34.78ms  
[2025-07-04 12:36:44] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 32.72ms  
[2025-07-04 12:36:45] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 33.57ms  
[2025-07-04 12:36:45] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 36.67ms  
[2025-07-04 12:36:45] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:36:45' group by `month` order by `month` asc | Time: 33.57ms  
[2025-07-04 12:36:45] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:36:45', '2025-07-04 12:36:45') | Time: 45.2ms  
